"Time [ms]","FluxLinkage(Winding1) [Wb] - winding_num_r='5' winding_num_z='17'","FluxLinkage(Winding1) [Wb] - winding_num_r='15' winding_num_z='17'","FluxLinkage(Winding1) [Wb] - winding_num_r='5' winding_num_z='33'","FluxLinkage(Winding1) [Wb] - winding_num_r='15' winding_num_z='33'","FluxLinkage(Winding1) [Wb] - winding_num_r='5' winding_num_z='66'","FluxLinkage(Winding1) [Wb] - winding_num_r='15' winding_num_z='66'"
76,-1.43581163929751E-005,-5.12131874728748E-005,-2.77585068137548E-005,-9.96575002193511E-005,-5.62715553202999E-005,-0.000201524651503447
80,-1.56686850789442E-005,-5.58576670637097E-005,-3.05159003705499E-005,-0.000109079127089705,-6.16397920428616E-005,-0.000219850460488731
84,-1.69665813631032E-005,-6.1080045197562E-005,-3.31383077125193E-005,-0.00011918034877467,-6.75287310359637E-005,-0.000242558998357961
88.0000000000001,-1.85613182818452E-005,-6.69254208937732E-005,-3.6319567496334E-005,-0.000130496060389377,-7.39916056912964E-005,-0.000266545128112443
92.0000000000001,-2.05055947110253E-005,-7.34586952199566E-005,-3.98832525815275E-005,-0.000143263416997656,-8.11971286763734E-005,-0.000292741032279235
96.0000000000001,-2.27224289375426E-005,-8.08545278526526E-005,-4.3936065489608E-005,-0.000157680946147251,-8.92420553171924E-005,-0.00032039076299042
100,-2.50492242014374E-005,-8.92263962437784E-005,-4.83386617310008E-005,-0.000174096779835208,-9.90888235090493E-005,-0.000352987518541436
104,-2.7663183500621E-005,-9.87201510407786E-005,-5.37047114079822E-005,-0.000191914022340405,-0.000109853007530992,-0.000389559065641243
108,-3.07935076479675E-005,-0.000109185081772143,-5.98910484227601E-005,-0.000212756034346098,-0.000121644370630086,-0.000433656161369334
112,-3.41706632387997E-005,-0.000121461285261676,-6.67519440842076E-005,-0.000237558414273955,-0.000136004962215264,-0.000482106344592361
116,-3.82700419568756E-005,-0.000135827626834578,-7.42213551864052E-005,-0.000265259950815928,-0.000152304098424753,-0.000539142765015614
120,-4.29035180089622E-005,-0.000152139921128015,-8.32043832449988E-005,-0.00029620672759814,-0.000171072322279045,-0.000612690822948316
124,-4.78563207604036E-005,-0.000170914293706321,-9.39101843224119E-005,-0.000334030597153098,-0.000191928052614888,-0.000681514929039953
128,-5.44155476253234E-005,-0.000192383283561217,-0.000105698404552761,-0.000375735549101095,-0.000218238926905047,-0.000772673783556981
132,-6.19717807661395E-005,-0.000218262964127579,-0.000120036843497415,-0.000427388076257871,-0.000248260813615328,-0.000877702071749222
136,-7.06411563397737E-005,-0.000248414427055368,-0.000137031755313834,-0.000486605358936136,-0.000284167411088263,-0.00100608912166959
140,-8.09194282159322E-005,-0.000284212554814059,-0.000158032348634742,-0.000556057707099471,-0.000325695225916716,-0.00114369196935741
